spearman-coeffiecient,p-value,Feature1,Feature2
0.23960009649863262,0.03230583139874498,List,Image
0.19035739162466117,0.09077671944016243,List,Animation
0.15027630491537688,0.183344539285675,List,Video
0.1881388663685268,0.09467406279565196,List,Table
0.43299314559251884,6.0320384732878875e-05,List,Github
0.4512033700720488,2.6632944851903692e-05,List,Links
0.08106852204617554,0.4746925881534615,List,Project
0.40607028624671887,0.00018606792358655806,List,Inline
0.29031974929187804,0.008992102596211037,List,Code
0.23960009649863262,0.03230583139874498,Image,List
0.22792297563437888,0.042015342899652135,Image,Animation
0.033972394490244834,0.7648161249667421,Image,Video
0.04687708448539342,0.6796728162190557,Image,Table
0.4670534387950018,1.2574781579383595e-05,Image,Github
0.6203470111160337,8.401822307871071e-10,Image,Links
0.14712262232840773,0.19281600495592155,Image,Project
-0.1145743218181899,0.31154158655200653,Image,Inline
0.08840449060738828,0.4355099820324443,Image,Code
0.19035739162466117,0.09077671944016243,Animation,List
0.22792297563437888,0.042015342899652135,Animation,Image
-0.07349043394794005,0.517081910880193,Animation,Video
-0.032023064913097504,0.7779531371491948,Animation,Table
0.24802143279735694,0.026538432495934492,Animation,Github
0.27179638804414313,0.014733618349464865,Animation,Links
0.1950992305412793,0.08287122051110792,Animation,Project
0.02319653015711814,0.838167390990829,Animation,Inline
0.19484005584015127,0.08328868079808743,Animation,Code
0.15027630491537688,0.183344539285675,Video,List
0.03397239449024483,0.7648161249667422,Video,Image
-0.07349043394794005,0.517081910880193,Video,Animation
0.43574467033059505,5.346938366909331e-05,Video,Table
0.012434142114090557,0.9128311378421989,Video,Github
0.010076979374307522,0.9293084566865633,Video,Links
-0.12860587477895405,0.25557559607061336,Video,Project
0.060250496479378024,0.595489406033417,Video,Inline
0.19656308746839446,0.08054446845955372,Video,Code
0.18813886636852678,0.0946740627956521,Table,List
0.04687708448539342,0.6796728162190557,Table,Image
-0.03202306491309751,0.7779531371491948,Table,Animation
0.43574467033059505,5.346938366909331e-05,Table,Video
-0.068957778353522,0.5433240242769501,Table,Github
-0.021954950276929185,0.8467211070501869,Table,Links
-0.05603932450813312,0.6214964540888503,Table,Project
-0.13622271697277064,0.2282562577844396,Table,Inline
0.05420969477726549,0.6329444714866665,Table,Code
0.4329931455925188,6.0320384732879105e-05,Github,List
0.46705343879500183,1.2574781579383595e-05,Github,Image
0.24802143279735694,0.026538432495934492,Github,Animation
0.012434142114090555,0.9128311378421989,Github,Video
-0.06895777835352201,0.5433240242769499,Github,Table
0.845759574242507,5.56774415275541e-23,Github,Links
0.2533665141781311,0.023350518485780368,Github,Project
0.16644747822076714,0.1400416847701341,Github,Inline
0.07976834129753423,0.4818297108327181,Github,Code
0.45120337007204875,2.6632944851903787e-05,Links,List
0.6203470111160337,8.401822307871071e-10,Links,Image
0.2717963880441432,0.014733618349464817,Links,Animation
0.010076979374307522,0.9293084566865633,Links,Video
-0.02195495027692919,0.8467211070501869,Links,Table
0.845759574242507,5.56774415275541e-23,Links,Github
0.22916364285507496,0.040880503476947924,Links,Project
0.09941250823368582,0.38029421274481723,Links,Inline
0.032255291271611045,0.7763847564901971,Links,Code
0.08106852204617553,0.4746925881534617,Project,List
0.14712262232840773,0.19281600495592155,Project,Image
0.1950992305412793,0.08287122051110792,Project,Animation
-0.12860587477895405,0.25557559607061336,Project,Video
-0.05603932450813311,0.6214964540888506,Project,Table
0.2533665141781311,0.023350518485780368,Project,Github
0.22916364285507493,0.04088050347694797,Project,Links
-0.10007234202348982,0.3771244639632235,Project,Inline
0.024861681556717502,0.8267250774005829,Project,Code
0.4060702862467188,0.00018606792358655833,Inline,List
-0.1145743218181899,0.31154158655200653,Inline,Image
0.02319653015711814,0.838167390990829,Inline,Animation
0.060250496479378024,0.595489406033417,Inline,Video
-0.13622271697277066,0.2282562577844396,Inline,Table
0.16644747822076716,0.14004168477013407,Inline,Github
0.09941250823368582,0.38029421274481723,Inline,Links
-0.1000723420234898,0.3771244639632235,Inline,Project
0.11804882751719879,0.296996935831486,Inline,Code
0.2903197492918781,0.00899210259621103,Code,List
0.08840449060738827,0.4355099820324443,Code,Image
0.19484005584015127,0.08328868079808743,Code,Animation
0.19656308746839446,0.08054446845955372,Code,Video
0.054209694777265484,0.6329444714866665,Code,Table
0.07976834129753423,0.4818297108327181,Code,Github
0.032255291271611045,0.7763847564901971,Code,Links
0.024861681556717502,0.8267250774005829,Code,Project
0.11804882751719879,0.296996935831486,Code,Inline
